DEBUG | 2024-11-05 21:13:19,493 | writer is waiting
DEBUG | 2024-11-05 21:13:19,493 | Read value: daniel
DEBUG | 2024-11-05 21:13:19,494 | Read value: daniel
DEBUG | 2024-11-05 21:13:19,494 | Read value: daniel
DEBUG | 2024-11-05 21:13:19,494 | Read value: daniel
DEBUG | 2024-11-05 21:13:19,494 | 1
DEBUG | 2024-11-05 21:13:19,494 | 2
DEBUG | 2024-11-05 21:13:19,494 | Read value: daniel
DEBUG | 2024-11-05 21:13:19,494 | 3
DEBUG | 2024-11-05 21:13:19,495 | 4
DEBUG | 2024-11-05 21:13:19,495 | 5
DEBUG | 2024-11-05 21:13:19,495 | 6
DEBUG | 2024-11-05 21:13:19,495 | 7
DEBUG | 2024-11-05 21:13:19,495 | 8
DEBUG | 2024-11-05 21:13:19,495 | 9
DEBUG | 2024-11-05 21:13:19,495 | 10
DEBUG | 2024-11-05 21:13:19,495 | Write completed.
DEBUG | 2024-11-05 21:13:19,497 | Read value: dani
DEBUG | 2024-11-05 21:13:19,497 | Read value: dani
DEBUG | 2024-11-06 12:43:54,574 | writer is waiting
DEBUG | 2024-11-06 12:44:59,204 | writer is waiting
DEBUG | 2024-11-06 12:44:59,204 | 1
DEBUG | 2024-11-06 12:44:59,204 | 2
DEBUG | 2024-11-06 12:44:59,204 | 3
DEBUG | 2024-11-06 12:44:59,204 | 4
DEBUG | 2024-11-06 12:44:59,204 | 5
DEBUG | 2024-11-06 12:44:59,205 | 6
DEBUG | 2024-11-06 12:44:59,205 | 7
DEBUG | 2024-11-06 12:44:59,205 | 8
DEBUG | 2024-11-06 12:44:59,205 | 9
DEBUG | 2024-11-06 12:44:59,205 | 10
DEBUG | 2024-11-06 12:44:59,206 | Write completed.
DEBUG | 2024-11-06 12:44:59,208 | writer is waiting
DEBUG | 2024-11-06 12:44:59,209 | 1
DEBUG | 2024-11-06 12:44:59,209 | 2
DEBUG | 2024-11-06 12:44:59,209 | 3
DEBUG | 2024-11-06 12:44:59,209 | 4
DEBUG | 2024-11-06 12:44:59,209 | Read value: daniel
DEBUG | 2024-11-06 12:44:59,209 | 5
DEBUG | 2024-11-06 12:44:59,209 | Read value: daniel
DEBUG | 2024-11-06 12:44:59,209 | 6
DEBUG | 2024-11-06 12:44:59,210 | Read value: daniel
DEBUG | 2024-11-06 12:44:59,210 | 7
DEBUG | 2024-11-06 12:44:59,210 | Read value: daniel
DEBUG | 2024-11-06 12:44:59,210 | 8
DEBUG | 2024-11-06 12:44:59,210 | Read value: daniel
DEBUG | 2024-11-06 12:44:59,213 | 9
DEBUG | 2024-11-06 12:44:59,214 | 10
DEBUG | 2024-11-06 12:44:59,214 | Write completed.
DEBUG | 2024-11-06 12:44:59,220 | Read value: dani
DEBUG | 2024-11-06 17:17:55,718 | writer is waiting
DEBUG | 2024-11-06 17:17:55,718 | 1
DEBUG | 2024-11-06 17:17:55,718 | 2
DEBUG | 2024-11-06 17:17:55,718 | 3
DEBUG | 2024-11-06 17:17:55,719 | 4
DEBUG | 2024-11-06 17:17:55,719 | 5
DEBUG | 2024-11-06 17:17:55,719 | 6
DEBUG | 2024-11-06 17:17:55,719 | 7
DEBUG | 2024-11-06 17:17:55,719 | 8
DEBUG | 2024-11-06 17:17:55,719 | 9
DEBUG | 2024-11-06 17:17:55,719 | 10
DEBUG | 2024-11-06 17:17:55,724 | Write completed.
DEBUG | 2024-11-06 17:17:55,728 | writer is waiting
DEBUG | 2024-11-06 17:17:55,728 | 1
DEBUG | 2024-11-06 17:17:55,728 | 2
DEBUG | 2024-11-06 17:17:55,729 | 3
DEBUG | 2024-11-06 17:17:55,729 | 4
DEBUG | 2024-11-06 17:17:55,729 | 5
DEBUG | 2024-11-06 17:17:55,730 | 6
DEBUG | 2024-11-06 17:17:55,730 | 7
DEBUG | 2024-11-06 17:17:55,730 | 8
DEBUG | 2024-11-06 17:17:55,730 | 9
DEBUG | 2024-11-06 17:17:55,731 | 10
DEBUG | 2024-11-06 17:17:55,734 | Write completed.
DEBUG | 2024-11-06 17:18:31,896 | writer is waiting
DEBUG | 2024-11-06 17:18:31,896 | 1
DEBUG | 2024-11-06 17:18:31,896 | 2
DEBUG | 2024-11-06 17:18:31,896 | 3
DEBUG | 2024-11-06 17:18:31,896 | 4
DEBUG | 2024-11-06 17:18:31,896 | 5
DEBUG | 2024-11-06 17:18:31,896 | 6
DEBUG | 2024-11-06 17:18:31,896 | 7
DEBUG | 2024-11-06 17:18:31,897 | 8
DEBUG | 2024-11-06 17:18:31,897 | 9
DEBUG | 2024-11-06 17:18:31,897 | 10
DEBUG | 2024-11-06 17:18:31,898 | Write completed.
DEBUG | 2024-11-06 17:18:31,900 | writer is waiting
DEBUG | 2024-11-06 17:18:31,900 | 1
DEBUG | 2024-11-06 17:18:31,900 | 2
DEBUG | 2024-11-06 17:18:31,900 | 3
DEBUG | 2024-11-06 17:18:31,900 | 4
DEBUG | 2024-11-06 17:18:31,901 | 5
DEBUG | 2024-11-06 17:18:31,901 | Read value: daniel
DEBUG | 2024-11-06 17:18:31,901 | 6
DEBUG | 2024-11-06 17:18:31,901 | Read value: daniel
DEBUG | 2024-11-06 17:18:31,901 | 7
DEBUG | 2024-11-06 17:18:31,901 | Read value: daniel
DEBUG | 2024-11-06 17:18:31,901 | 8
DEBUG | 2024-11-06 17:18:31,901 | Read value: daniel
DEBUG | 2024-11-06 17:18:31,901 | 9
DEBUG | 2024-11-06 17:18:31,902 | Read value: daniel
DEBUG | 2024-11-06 17:18:31,902 | 10
DEBUG | 2024-11-06 17:18:31,904 | Write completed.
DEBUG | 2024-11-06 17:18:31,904 | Read value: dani
DEBUG | 2024-11-06 17:18:55,484 | writer is waiting
DEBUG | 2024-11-06 17:18:55,484 | 1
DEBUG | 2024-11-06 17:18:55,484 | 2
DEBUG | 2024-11-06 17:18:55,484 | 3
DEBUG | 2024-11-06 17:18:55,484 | 4
DEBUG | 2024-11-06 17:18:55,485 | 5
DEBUG | 2024-11-06 17:18:55,485 | 6
DEBUG | 2024-11-06 17:18:55,485 | 7
DEBUG | 2024-11-06 17:18:55,485 | 8
DEBUG | 2024-11-06 17:18:55,485 | 9
DEBUG | 2024-11-06 17:18:55,485 | 10
DEBUG | 2024-11-06 17:18:55,486 | Write completed.
DEBUG | 2024-11-06 17:18:55,487 | Read value: daniel
DEBUG | 2024-11-06 17:19:28,615 | writer is waiting
DEBUG | 2024-11-06 17:19:28,615 | 1
DEBUG | 2024-11-06 17:19:28,615 | 2
DEBUG | 2024-11-06 17:19:28,615 | 3
DEBUG | 2024-11-06 17:19:28,616 | 4
DEBUG | 2024-11-06 17:19:28,616 | 5
DEBUG | 2024-11-06 17:19:28,616 | 6
DEBUG | 2024-11-06 17:19:28,616 | 7
DEBUG | 2024-11-06 17:19:28,616 | 8
DEBUG | 2024-11-06 17:19:28,616 | 9
DEBUG | 2024-11-06 17:19:28,616 | 10
DEBUG | 2024-11-06 17:19:28,617 | Write completed.
DEBUG | 2024-11-06 17:19:28,619 | Read value: daniel
DEBUG | 2024-11-06 17:20:08,400 | writer is waiting
DEBUG | 2024-11-06 17:20:08,400 | 1
DEBUG | 2024-11-06 17:20:08,400 | 2
DEBUG | 2024-11-06 17:20:08,400 | 3
DEBUG | 2024-11-06 17:20:08,400 | 4
DEBUG | 2024-11-06 17:20:08,401 | 5
DEBUG | 2024-11-06 17:20:08,401 | 6
DEBUG | 2024-11-06 17:20:08,401 | 7
DEBUG | 2024-11-06 17:20:08,401 | 8
DEBUG | 2024-11-06 17:20:08,401 | 9
DEBUG | 2024-11-06 17:20:08,401 | 10
DEBUG | 2024-11-06 17:20:08,402 | Write completed.
DEBUG | 2024-11-06 17:20:08,403 | writer is waiting
DEBUG | 2024-11-06 17:20:08,403 | 1
DEBUG | 2024-11-06 17:20:08,403 | 2
DEBUG | 2024-11-06 17:20:08,403 | 3
DEBUG | 2024-11-06 17:20:08,403 | 4
DEBUG | 2024-11-06 17:20:08,403 | 5
DEBUG | 2024-11-06 17:20:08,403 | 6
DEBUG | 2024-11-06 17:20:08,403 | 7
DEBUG | 2024-11-06 17:20:08,404 | 8
DEBUG | 2024-11-06 17:20:08,404 | 9
DEBUG | 2024-11-06 17:20:08,404 | Read value: daniel
DEBUG | 2024-11-06 17:20:08,404 | 10
DEBUG | 2024-11-06 17:20:08,404 | Write completed.
DEBUG | 2024-11-06 17:20:08,409 | Read value: value2
DEBUG | 2024-11-06 17:20:42,755 | writer is waiting
DEBUG | 2024-11-06 17:20:42,755 | 1
DEBUG | 2024-11-06 17:20:42,755 | 2
DEBUG | 2024-11-06 17:20:42,755 | 3
DEBUG | 2024-11-06 17:20:42,755 | 4
DEBUG | 2024-11-06 17:20:42,755 | 5
DEBUG | 2024-11-06 17:20:42,755 | 6
DEBUG | 2024-11-06 17:20:42,755 | 7
DEBUG | 2024-11-06 17:20:42,755 | 8
DEBUG | 2024-11-06 17:20:42,755 | 9
DEBUG | 2024-11-06 17:20:42,755 | 10
DEBUG | 2024-11-06 17:20:42,757 | Write completed.
DEBUG | 2024-11-06 17:20:42,757 | writer is waiting
DEBUG | 2024-11-06 17:20:42,757 | 1
DEBUG | 2024-11-06 17:20:42,757 | 2
DEBUG | 2024-11-06 17:20:42,757 | 3
DEBUG | 2024-11-06 17:20:42,757 | 4
DEBUG | 2024-11-06 17:20:42,757 | 5
DEBUG | 2024-11-06 17:20:42,757 | 6
DEBUG | 2024-11-06 17:20:42,757 | 7
DEBUG | 2024-11-06 17:20:42,757 | 8
DEBUG | 2024-11-06 17:20:42,758 | 9
DEBUG | 2024-11-06 17:20:42,758 | 10
DEBUG | 2024-11-06 17:20:42,759 | Write completed.
DEBUG | 2024-11-06 17:20:42,761 | writer is waiting
DEBUG | 2024-11-06 17:20:42,761 | 1
DEBUG | 2024-11-06 17:20:42,761 | 2
DEBUG | 2024-11-06 17:20:42,761 | 3
DEBUG | 2024-11-06 17:20:42,762 | 4
DEBUG | 2024-11-06 17:20:42,762 | Read value: daniel
DEBUG | 2024-11-06 17:20:42,762 | 5
DEBUG | 2024-11-06 17:20:42,762 | Read value: daniel
DEBUG | 2024-11-06 17:20:42,762 | 6
DEBUG | 2024-11-06 17:20:42,762 | Read value: daniel
DEBUG | 2024-11-06 17:20:42,764 | 7
DEBUG | 2024-11-06 17:20:42,765 | 8
DEBUG | 2024-11-06 17:20:42,765 | 9
DEBUG | 2024-11-06 17:20:42,766 | Read value: daniel
DEBUG | 2024-11-06 17:20:42,766 | 10
DEBUG | 2024-11-06 17:20:42,767 | Read value: dani
DEBUG | 2024-11-06 17:20:42,767 | Write completed.
DEBUG | 2024-11-06 17:20:42,769 | Read value: dani
DEBUG | 2024-11-06 17:21:12,821 | writer is waiting
DEBUG | 2024-11-06 17:21:12,821 | 1
DEBUG | 2024-11-06 17:21:12,821 | 2
DEBUG | 2024-11-06 17:21:12,821 | 3
DEBUG | 2024-11-06 17:21:12,822 | 4
DEBUG | 2024-11-06 17:21:12,822 | 5
DEBUG | 2024-11-06 17:21:12,822 | 6
DEBUG | 2024-11-06 17:21:12,822 | 7
DEBUG | 2024-11-06 17:21:12,822 | 8
DEBUG | 2024-11-06 17:21:12,822 | 9
DEBUG | 2024-11-06 17:21:12,822 | 10
DEBUG | 2024-11-06 17:21:12,823 | Write completed.
DEBUG | 2024-11-06 17:21:12,825 | writer is waiting
DEBUG | 2024-11-06 17:21:12,825 | 1
DEBUG | 2024-11-06 17:21:12,825 | 2
DEBUG | 2024-11-06 17:21:12,826 | 3
DEBUG | 2024-11-06 17:21:12,826 | 4
DEBUG | 2024-11-06 17:21:12,826 | 5
DEBUG | 2024-11-06 17:21:12,826 | Read value: daniel
DEBUG | 2024-11-06 17:21:12,826 | 6
DEBUG | 2024-11-06 17:21:12,826 | Read value: daniel
DEBUG | 2024-11-06 17:21:12,826 | 7
